pathogen	drug_group	state_id	proportion_nonsusceptible
A. baumannii	cephalosporin	stateSNB	0.33513
A. baumannii	cephalosporin	stateSTP	0.8
A. baumannii	cephalosporin	stateTMR	0.3484
A. baumannii	cephalosporin	stateTOE	0.236667
A. baumannii	cephalosporin	stateUEQ	0.55
A. baumannii	cephalosporin	stateUMX	0.363283
A. baumannii	cephalosporin	stateVIE	0.36907
A. baumannii	cephalosporin	stateVUS	0.33
A. baumannii	cephalosporin	stateWPV	0.619502
A. baumannii	cephalosporin	stateXYX	0.457095
A. baumannii	cephalosporin	stateYJD	0.68
A. baumannii	cephalosporin	stateYUW	0.373019
A. baumannii	cephalosporin	stateYVE	0.5302
A. baumannii	cephalosporin	stateZWS	0.621051
A. baumannii	quinolone	stateCCZ	0.490044
A. baumannii	quinolone	stateCUX	0.24
A. baumannii	quinolone	stateCYL	0.389447
A. baumannii	quinolone	stateELN	0.047955
A. baumannii	quinolone	stateEPB	0.410122
A. baumannii	quinolone	stateERZ	0.017333
A. baumannii	quinolone	stateEVG	0.082245
A. baumannii	quinolone	stateGKW	0.1222
A. baumannii	quinolone	stateIJE	0.282465
A. baumannii	quinolone	stateIWK	0.686822
A. baumannii	quinolone	stateJBF	0.060645
A. baumannii	quinolone	stateKFE	0.273787
A. baumannii	quinolone	stateLJC	0.398933
A. baumannii	quinolone	stateLMH	0.09
A. baumannii	quinolone	stateLWR	0.559535
A. baumannii	quinolone	stateMMO	0.441399
A. baumannii	quinolone	stateNWF	0.562317
A. baumannii	quinolone	stateOUP	0.366863
A. baumannii	quinolone	statePIO	0.024
A. baumannii	quinolone	statePJJ	0.696352
A. baumannii	quinolone	stateQES	0.8
A. baumannii	quinolone	stateRHV	0.538767
A. baumannii	quinolone	stateSHP	0.225387
A. baumannii	quinolone	stateSLZ	0.384235
A. baumannii	quinolone	stateSNB	0.393739
A. baumannii	quinolone	stateSTP	0.59
A. baumannii	quinolone	stateTMR	0.183467
A. baumannii	quinolone	stateTOE	0.1
A. baumannii	quinolone	stateUEQ	0.2
A. baumannii	quinolone	stateUMX	0.278505
A. baumannii	quinolone	stateVIE	0.411786
A. baumannii	quinolone	stateVUS	0.02
A. baumannii	quinolone	stateWPV	0.524471
A. baumannii	quinolone	stateXYX	0.309578
A. baumannii	quinolone	stateYJD	0.05
A. baumannii	quinolone	stateYUW	0.44967
A. baumannii	quinolone	stateYVE	0.439068
A. baumannii	quinolone	stateZWS	0.552954
A. baumannii	tmpsmx	stateCCZ	0.518231
A. baumannii	tmpsmx	stateCUX	0.29
A. baumannii	tmpsmx	stateCYL	0.825094
A. baumannii	tmpsmx	stateELN	0.106497
A. baumannii	tmpsmx	stateEPB	0.411849
A. baumannii	tmpsmx	stateERZ	0.159333
A. baumannii	tmpsmx	stateEVG	0.121837
A. baumannii	tmpsmx	stateGKW	0.09905
A. baumannii	tmpsmx	stateIJE	0.257115
A. baumannii	tmpsmx	stateIWK	0.692897
A. baumannii	tmpsmx	stateJBF	0.096452
A. baumannii	tmpsmx	stateKFE	0.365806
A. baumannii	tmpsmx	stateLJC	0.266
A. baumannii	tmpsmx	stateLMH	0.09
A. baumannii	tmpsmx	stateLWR	0.486977
A. baumannii	tmpsmx	stateMMO	0.435135
A. baumannii	tmpsmx	stateNWF	0.430244
A. baumannii	tmpsmx	stateOUP	0.227059
A. baumannii	tmpsmx	statePIO	0.078
A. baumannii	tmpsmx	statePJJ	0.578443
A. baumannii	tmpsmx	stateQES	0.4
A. baumannii	tmpsmx	stateRHV	0.252333
A. baumannii	tmpsmx	stateSHP	0.21
A. baumannii	tmpsmx	stateSLZ	0.34315
A. baumannii	tmpsmx	stateSNB	0.279217
A. baumannii	tmpsmx	stateTMR	0.19428
A. baumannii	tmpsmx	stateTOE	0.17
A. baumannii	tmpsmx	stateUEQ	0.19
A. baumannii	tmpsmx	stateUMX	0.257935
A. baumannii	tmpsmx	stateVIE	0.317857
A. baumannii	tmpsmx	stateVUS	0.1
A. baumannii	tmpsmx	stateWPV	0.643367
A. baumannii	tmpsmx	stateXYX	0.327081
A. baumannii	tmpsmx	stateYJD	0.05
A. baumannii	tmpsmx	stateYUW	0.385283
A. baumannii	tmpsmx	stateYVE	0.508932
A. baumannii	tmpsmx	stateZWS	0.630675
C. freundii	beta_lactam	stateBFU	0.540063
C. freundii	beta_lactam	stateCCZ	0.482542
C. freundii	beta_lactam	stateCUX	0.2
C. freundii	beta_lactam	stateCWD	0.17
C. freundii	beta_lactam	stateCYL	0.508743
C. freundii	beta_lactam	stateELN	0.024762
C. freundii	beta_lactam	stateEPB	0.542893
C. freundii	beta_lactam	stateERZ	0.584382
C. freundii	beta_lactam	stateEVG	0
C. freundii	beta_lactam	stateGKW	0.330136
C. freundii	beta_lactam	stateIJE	0.421152
C. freundii	beta_lactam	stateIWK	0.176071
C. freundii	beta_lactam	stateJBF	0.111943
C. freundii	beta_lactam	stateKFE	0.745313
C. freundii	beta_lactam	stateLJC	0.336685
C. freundii	beta_lactam	stateLMH	0.111649
C. freundii	beta_lactam	stateLWR	0.211958
C. freundii	beta_lactam	stateNWF	0.017619
C. freundii	beta_lactam	stateOUP	0.178152
C. freundii	beta_lactam	statePIO	0.101541
C. freundii	beta_lactam	statePJJ	0.174286
C. freundii	beta_lactam	stateRHV	0.54
C. freundii	beta_lactam	stateSHP	0.140742
C. freundii	beta_lactam	stateSLZ	0.471036
C. freundii	beta_lactam	stateSNB	0.371232
C. freundii	beta_lactam	stateTMR	0.418389
C. freundii	beta_lactam	stateTOE	0.085
C. freundii	beta_lactam	stateUEQ	0.09
C. freundii	beta_lactam	stateUMX	0.330013
C. freundii	beta_lactam	stateVIE	0.21877
C. freundii	beta_lactam	stateWFM	0.085
C. freundii	beta_lactam	stateWPV	0.505476
C. freundii	beta_lactam	stateXYX	0.68177
C. freundii	beta_lactam	stateYJD	0.673333
C. freundii	beta_lactam	stateYUW	0.046303
C. freundii	beta_lactam	stateYVE	0.284892
C. freundii	beta_lactam	stateZWS	0.602856
C. freundii	cephalosporin	stateBFU	0.045759
C. freundii	cephalosporin	stateCCZ	0.297989
C. freundii	cephalosporin	stateCUX	0.128701
C. freundii	cephalosporin	stateCWD	0.133333
C. freundii	cephalosporin	stateCYL	0.256788
C. freundii	cephalosporin	stateELN	0.052619
C. freundii	cephalosporin	stateEPB	0.31388
C. freundii	cephalosporin	stateERZ	0.331811
C. freundii	cephalosporin	stateEVG	0
C. freundii	cephalosporin	stateGKW	0.213903
C. freundii	cephalosporin	stateIJE	0.291271
C. freundii	cephalosporin	stateIWK	0.325857
C. freundii	cephalosporin	stateJBF	0.207416
C. freundii	cephalosporin	stateKFE	0.445838
C. freundii	cephalosporin	stateLJC	0.153455
C. freundii	cephalosporin	stateLMH	0.099692
C. freundii	cephalosporin	stateLWR	0.148675
C. freundii	cephalosporin	stateMMO	0.424241
C. freundii	cephalosporin	stateNWF	0.142619
C. freundii	cephalosporin	stateOUP	0.153533
C. freundii	cephalosporin	statePIO	0.1875
C. freundii	cephalosporin	statePJJ	0.147619
C. freundii	cephalosporin	stateRHV	0.377056
C. freundii	cephalosporin	stateSHP	0.20085
C. freundii	cephalosporin	stateSLZ	0.354041
C. freundii	cephalosporin	stateSNB	0.109832
C. freundii	cephalosporin	stateTMR	0.210959
C. freundii	cephalosporin	stateTOE	0.08
C. freundii	cephalosporin	stateUEQ	0.09
C. freundii	cephalosporin	stateUMX	0.313231
C. freundii	cephalosporin	stateVIE	0.285932
C. freundii	cephalosporin	stateVUS	0.105969
C. freundii	cephalosporin	stateWFM	0.055
C. freundii	cephalosporin	stateWPV	0.339192
C. freundii	cephalosporin	stateXYX	0.248642
C. freundii	cephalosporin	stateYJD	0.343333
C. freundii	cephalosporin	stateYUW	0.10103
C. freundii	cephalosporin	stateYVE	0.151413
C. freundii	cephalosporin	stateZWS	0.38336
C. freundii	nitrofurantoin	stateBFU	0.077089
C. freundii	nitrofurantoin	stateCCZ	0.088179
C. freundii	nitrofurantoin	stateCUX	0.055844
C. freundii	nitrofurantoin	stateCYL	0.038101
C. freundii	nitrofurantoin	stateELN	0.034762
C. freundii	nitrofurantoin	stateEPB	0.075888
C. freundii	nitrofurantoin	stateERZ	0.327918
C. freundii	nitrofurantoin	stateEVG	0
C. freundii	nitrofurantoin	stateGKW	0.053437
C. freundii	nitrofurantoin	stateIJE	0.063632
C. freundii	nitrofurantoin	stateIWK	0.038088
C. freundii	nitrofurantoin	stateJBF	0.079516
C. freundii	nitrofurantoin	stateKFE	0.066831
C. freundii	nitrofurantoin	stateLJC	0.032183
C. freundii	nitrofurantoin	stateLMH	0.148269
C. freundii	nitrofurantoin	stateLWR	0.081566
C. freundii	nitrofurantoin	stateMMO	0.16186
C. freundii	nitrofurantoin	stateNWF	0.099155
C. freundii	nitrofurantoin	stateOUP	0.103641
C. freundii	nitrofurantoin	statePIO	0.03799
C. freundii	nitrofurantoin	statePJJ	0.113286
C. freundii	nitrofurantoin	stateRHV	0.16
C. freundii	nitrofurantoin	stateSHP	0.112087
C. freundii	nitrofurantoin	stateSLZ	0.08
C. freundii	nitrofurantoin	stateSNB	0.088
C. freundii	nitrofurantoin	stateSTP	0.066951
C. freundii	nitrofurantoin	stateTMR	0.085544
C. freundii	nitrofurantoin	stateTOE	0.06
C. freundii	nitrofurantoin	stateUMX	0.093419
C. freundii	nitrofurantoin	stateVIE	0.090643
C. freundii	nitrofurantoin	stateVUS	0.132461
C. freundii	nitrofurantoin	stateWFM	0.09
C. freundii	nitrofurantoin	stateWPV	0.125986
C. freundii	nitrofurantoin	stateXYX	0.067269
C. freundii	nitrofurantoin	stateYJD	0.15
C. freundii	nitrofurantoin	stateYUW	0.059212
C. freundii	nitrofurantoin	stateYVE	0.057444
C. freundii	nitrofurantoin	stateZWS	0.133208
C. freundii	quinolone	stateBFU	0.012911
C. freundii	quinolone	stateCCZ	0.074109
C. freundii	quinolone	stateCUX	0.031234
C. freundii	quinolone	stateCWD	0.04
C. freundii	quinolone	stateCYL	0.101732
C. freundii	quinolone	stateELN	0.05619
C. freundii	quinolone	stateEPB	0.113882
C. freundii	quinolone	stateERZ	0.04987
C. freundii	quinolone	stateEVG	0.014082
C. freundii	quinolone	stateGKW	0.057442
C. freundii	quinolone	stateIJE	0.074505
C. freundii	quinolone	stateIWK	0.033286
C. freundii	quinolone	stateJBF	0.098769
C. freundii	quinolone	stateKFE	0.055821
C. freundii	quinolone	stateLJC	0.049185
C. freundii	quinolone	stateLMH	0.075959
C. freundii	quinolone	stateLWR	0.086928
C. freundii	quinolone	stateMMO	0.076444
C. freundii	quinolone	stateNWF	0.174476
C. freundii	quinolone	stateOUP	0.093203
C. freundii	quinolone	statePIO	0.025959
C. freundii	quinolone	statePJJ	0.201143
C. freundii	quinolone	stateRHV	0.166371
C. freundii	quinolone	stateSHP	0.081254
C. freundii	quinolone	stateSLZ	0.065648
C. freundii	quinolone	stateSNB	0.053039
C. freundii	quinolone	stateSTP	0.037787
C. freundii	quinolone	stateTMR	0.062667
C. freundii	quinolone	stateTOE	0.08
C. freundii	quinolone	stateUEQ	0.08
C. freundii	quinolone	stateUMX	0.099795
C. freundii	quinolone	stateVIE	0.04297
C. freundii	quinolone	stateVUS	0.052984
C. freundii	quinolone	stateWFM	0.08
C. freundii	quinolone	stateWPV	0.157981
C. freundii	quinolone	stateXYX	0.051921
C. freundii	quinolone	stateYJD	0.08
C. freundii	quinolone	stateYUW	0.081576
C. freundii	quinolone	stateYVE	0.070315
C. freundii	quinolone	stateZWS	0.146445
C. freundii	tmpsmx	stateBFU	0.12443
C. freundii	tmpsmx	stateCCZ	0.145512
C. freundii	tmpsmx	stateCUX	0.148312
C. freundii	tmpsmx	stateCYL	0.117374
C. freundii	tmpsmx	stateELN	0.119524
C. freundii	tmpsmx	stateEPB	0.250984
C. freundii	tmpsmx	stateERZ	0.155683
C. freundii	tmpsmx	stateEVG	0.03
C. freundii	tmpsmx	stateGKW	0.126532
C. freundii	tmpsmx	stateIJE	0.130459
C. freundii	tmpsmx	stateIWK	0.099714
C. freundii	tmpsmx	stateJBF	0.176978
C. freundii	tmpsmx	stateKFE	0.196431
C. freundii	tmpsmx	stateLJC	0.115843
C. freundii	tmpsmx	stateLMH	0.229381
C. freundii	tmpsmx	stateLWR	0.154639
C. freundii	tmpsmx	stateMMO	0
C. freundii	tmpsmx	stateNWF	0.38019
C. freundii	tmpsmx	stateOUP	0.187156
C. freundii	tmpsmx	statePIO	0.130137
C. freundii	tmpsmx	statePJJ	0.157571
C. freundii	tmpsmx	stateRHV	0.206452
C. freundii	tmpsmx	stateSHP	0.154063
C. freundii	tmpsmx	stateSLZ	0.170933
C. freundii	tmpsmx	stateSNB	0.116667
C. freundii	tmpsmx	stateSTP	0.099268
C. freundii	tmpsmx	stateTMR	0.154916
C. freundii	tmpsmx	stateTOE	0.16
C. freundii	tmpsmx	stateUEQ	0.1
C. freundii	tmpsmx	stateUMX	0.227041
C. freundii	tmpsmx	stateVIE	0.149671
C. freundii	tmpsmx	stateVUS	0.142984
C. freundii	tmpsmx	stateWFM	0.18
C. freundii	tmpsmx	stateWPV	0.176683
C. freundii	tmpsmx	stateXYX	0.158522
C. freundii	tmpsmx	stateYJD	0.15
C. freundii	tmpsmx	stateYUW	0.171576
C. freundii	tmpsmx	stateYVE	0.136738
C. freundii	tmpsmx	stateZWS	0.186126
CoNS	beta_lactam	stateBFU	0.381181
CoNS	beta_lactam	stateCCZ	0.652454
CoNS	beta_lactam	stateCUX	0.641884
CoNS	beta_lactam	stateCWD	0.785
CoNS	beta_lactam	stateCYL	0.910499
CoNS	beta_lactam	stateELN	0.609556
CoNS	beta_lactam	stateEPB	0.710172
CoNS	beta_lactam	stateERZ	0.391333
CoNS	beta_lactam	stateEVG	0.520345
CoNS	beta_lactam	stateGKW	0.621603
CoNS	beta_lactam	stateHQX	0.683077
CoNS	beta_lactam	stateIJE	0.637892
CoNS	beta_lactam	stateIWK	0.596179
CoNS	beta_lactam	stateJBF	0.657641
CoNS	beta_lactam	stateKFE	0.719929
CoNS	beta_lactam	stateLJC	0.673791
CoNS	beta_lactam	stateLMH	0.59211
CoNS	beta_lactam	stateLWR	0.534641
CoNS	beta_lactam	stateMMO	0.760263
CoNS	beta_lactam	stateNWF	0.728878
CoNS	beta_lactam	stateOUP	0.544319
CoNS	beta_lactam	statePIO	0.582733
CoNS	beta_lactam	statePJJ	0.656053
CoNS	beta_lactam	stateQES	0.78
CoNS	beta_lactam	stateRHV	0.722
CoNS	beta_lactam	stateSHP	0.661657
CoNS	beta_lactam	stateSLZ	0.711511
CoNS	beta_lactam	stateSNB	0.386635
CoNS	beta_lactam	stateSTP	0.713397
CoNS	beta_lactam	stateTGK	0.35
CoNS	beta_lactam	stateTMR	0.806572
CoNS	beta_lactam	stateTOE	0.847683
CoNS	beta_lactam	stateUEQ	0.53
CoNS	beta_lactam	stateUMX	0.671985
CoNS	beta_lactam	stateVIE	0.699299
CoNS	beta_lactam	stateVUS	0.44848
CoNS	beta_lactam	stateWPV	0.76557
CoNS	beta_lactam	stateXYX	0.688529
CoNS	beta_lactam	stateYJD	0.585
CoNS	beta_lactam	stateYUW	0.757562
CoNS	beta_lactam	stateYVE	0.684029
CoNS	beta_lactam	stateZWS	0.716421
CoNS	cephalosporin	stateCCZ	0.554745
CoNS	cephalosporin	stateCUX	0.506255
CoNS	cephalosporin	stateCYL	0.653191
CoNS	cephalosporin	stateELN	0.38
CoNS	cephalosporin	stateEPB	0.738333
CoNS	cephalosporin	stateEVG	0.520345
CoNS	cephalosporin	stateGKW	0.68
CoNS	cephalosporin	stateIJE	0.529718
CoNS	cephalosporin	stateIWK	0.602839
CoNS	cephalosporin	stateJBF	0.62736
CoNS	cephalosporin	stateKFE	0.476966
CoNS	cephalosporin	stateLJC	0.58527
CoNS	cephalosporin	stateLMH	0.558147
CoNS	cephalosporin	stateLWR	0.494438
CoNS	cephalosporin	stateMMO	0.625712
CoNS	cephalosporin	stateNWF	0.561332
CoNS	cephalosporin	stateOUP	0.459269
CoNS	cephalosporin	statePIO	0.524169
CoNS	cephalosporin	statePJJ	0.56003
CoNS	cephalosporin	stateQES	0.78
CoNS	cephalosporin	stateRHV	0.59
CoNS	cephalosporin	stateSHP	0.653615
CoNS	cephalosporin	stateSNB	0.300865
CoNS	cephalosporin	stateSTP	0.467662
CoNS	cephalosporin	stateTGK	0.35
CoNS	cephalosporin	stateTMR	0.4
CoNS	cephalosporin	stateTOE	0.22
CoNS	cephalosporin	stateUMX	0.546717
CoNS	cephalosporin	stateVIE	0.352032
CoNS	cephalosporin	stateWPV	0.687114
CoNS	cephalosporin	stateXYX	0.630718
CoNS	cephalosporin	stateYUW	0.72
CoNS	cephalosporin	stateYVE	0.635241
CoNS	cephalosporin	stateZWS	0.481279
CoNS	macrolide	stateBFU	0.473965
CoNS	macrolide	stateCCZ	0.631972
CoNS	macrolide	stateCUX	0.661397
CoNS	macrolide	stateCWD	0.65
CoNS	macrolide	stateELN	0.510533
CoNS	macrolide	stateEPB	0.673731
CoNS	macrolide	stateERZ	0.350167
CoNS	macrolide	stateEVG	0.612222
CoNS	macrolide	stateGKW	0.633948
CoNS	macrolide	stateHQX	0.68
CoNS	macrolide	stateIJE	0.687857
CoNS	macrolide	stateIWK	0.59454
CoNS	macrolide	stateJBF	0.587644
CoNS	macrolide	stateKFE	0.523111
CoNS	macrolide	stateLJC	0.671545
CoNS	macrolide	stateLMH	0.660874
CoNS	macrolide	stateLWR	0.546688
CoNS	macrolide	stateMMO	0.641463
CoNS	macrolide	stateNWF	0.632387
CoNS	macrolide	stateOUP	0.621991
CoNS	macrolide	statePIO	0.617767
CoNS	macrolide	statePJJ	0.597683
CoNS	macrolide	stateQES	0.78
CoNS	macrolide	stateRHV	0.696105
CoNS	macrolide	stateSHP	0.578545
CoNS	macrolide	stateSLZ	0.781579
CoNS	macrolide	stateSNB	0.56828
CoNS	macrolide	stateSTP	0.60094
CoNS	macrolide	stateTGK	0.64
CoNS	macrolide	stateTMR	0.630191
CoNS	macrolide	stateTOE	0.714878
CoNS	macrolide	stateUEQ	0.62
CoNS	macrolide	stateUMX	0.701403
CoNS	macrolide	stateVIE	0.631378
CoNS	macrolide	stateVUS	0.49384
CoNS	macrolide	stateWPV	0.726981
CoNS	macrolide	stateXYX	0.673163
CoNS	macrolide	stateYUW	0.705543
CoNS	macrolide	stateYVE	0.634321
CoNS	macrolide	stateZWS	0.678723
CoNS	nitrofurantoin	stateBFU	0.022733
CoNS	nitrofurantoin	stateCCZ	0.034962
CoNS	nitrofurantoin	stateCUX	0.003406
CoNS	nitrofurantoin	stateCWD	0
CoNS	nitrofurantoin	stateCYL	0.003556
CoNS	nitrofurantoin	stateELN	0
CoNS	nitrofurantoin	stateEPB	0.005449
CoNS	nitrofurantoin	stateEVG	0.03
CoNS	nitrofurantoin	stateGKW	0.003235
CoNS	nitrofurantoin	stateHQX	0.00915
CoNS	nitrofurantoin	stateIJE	0.03
CoNS	nitrofurantoin	stateIWK	0.024729
CoNS	nitrofurantoin	stateJBF	0.002432
CoNS	nitrofurantoin	stateKFE	0.030325
CoNS	nitrofurantoin	stateLJC	0.014824
CoNS	nitrofurantoin	stateLMH	0
CoNS	nitrofurantoin	stateLWR	0.010375
CoNS	nitrofurantoin	stateMMO	0.017638
CoNS	nitrofurantoin	stateNWF	0.024553
CoNS	nitrofurantoin	stateOUP	0.014295
CoNS	nitrofurantoin	statePIO	0.009669
CoNS	nitrofurantoin	statePJJ	0.018722
CoNS	nitrofurantoin	stateQES	0
CoNS	nitrofurantoin	stateSHP	0.013481
CoNS	nitrofurantoin	stateSLZ	0
CoNS	nitrofurantoin	stateSNB	0.06471
CoNS	nitrofurantoin	stateSTP	0
CoNS	nitrofurantoin	stateTGK	0
CoNS	nitrofurantoin	stateTMR	0.011814
CoNS	nitrofurantoin	stateTOE	0.009632
CoNS	nitrofurantoin	stateUMX	0.010944
CoNS	nitrofurantoin	stateVIE	0.008367
CoNS	nitrofurantoin	stateVUS	0
CoNS	nitrofurantoin	stateWPV	0.007372
CoNS	nitrofurantoin	stateXYX	0.007802
CoNS	nitrofurantoin	stateYJD	0
CoNS	nitrofurantoin	stateYUW	0.009351
CoNS	nitrofurantoin	stateYVE	0.05485
CoNS	nitrofurantoin	stateZWS	0.021668
CoNS	quinolone	stateBFU	0.355371
CoNS	quinolone	stateCCZ	0.62749
CoNS	quinolone	stateCUX	0.394578
CoNS	quinolone	stateCYL	0.4324
CoNS	quinolone	stateELN	0.154734
CoNS	quinolone	stateEPB	0.471738
CoNS	quinolone	stateGKW	0.392748
CoNS	quinolone	stateHQX	0.475
CoNS	quinolone	stateIJE	0.329166
CoNS	quinolone	stateIWK	0.373569
CoNS	quinolone	stateJBF	0.465634
CoNS	quinolone	stateKFE	0.292335
CoNS	quinolone	stateLJC	0.454692
CoNS	quinolone	stateLMH	0.3
CoNS	quinolone	stateLWR	0.313708
CoNS	quinolone	stateMMO	0.504189
CoNS	quinolone	stateNWF	0.55304
CoNS	quinolone	stateOUP	0.392154
CoNS	quinolone	statePIO	0.526221
CoNS	quinolone	statePJJ	0.144027
CoNS	quinolone	stateRHV	0.479263
CoNS	quinolone	stateSHP	0.388749
CoNS	quinolone	stateSLZ	0.553516
CoNS	quinolone	stateSNB	0.154027
CoNS	quinolone	stateSTP	0.362459
CoNS	quinolone	stateTGK	0.34
CoNS	quinolone	stateTMR	0.422726
CoNS	quinolone	stateTOE	0.462927
CoNS	quinolone	stateUMX	0.441838
CoNS	quinolone	stateVIE	0.394618
CoNS	quinolone	stateVUS	0.463119
CoNS	quinolone	stateWPV	0.655081
CoNS	quinolone	stateXYX	0.381498
CoNS	quinolone	stateYJD	0.09
CoNS	quinolone	stateYUW	0.570709
CoNS	quinolone	stateYVE	0.487973
CoNS	quinolone	stateZWS	0.571549
CoNS	tetracycline	stateBFU	0.14689
CoNS	tetracycline	stateCCZ	0.147993
CoNS	tetracycline	stateCUX	0.18391
CoNS	tetracycline	stateCYL	0.124236
CoNS	tetracycline	stateELN	0.1
CoNS	tetracycline	stateEPB	0.19045
CoNS	tetracycline	stateERZ	0.068333
CoNS	tetracycline	stateEVG	0.14465
CoNS	tetracycline	stateGKW	0.120066
CoNS	tetracycline	stateHQX	0.162996
CoNS	tetracycline	stateIJE	0.202596
CoNS	tetracycline	stateIWK	0.13087
CoNS	tetracycline	stateJBF	0.166086
CoNS	tetracycline	stateKFE	0.144919
CoNS	tetracycline	stateLJC	0.146736
CoNS	tetracycline	stateLMH	0.135344
CoNS	tetracycline	stateLWR	0.145562
CoNS	tetracycline	stateMMO	0.139211
CoNS	tetracycline	stateOUP	0.180046
CoNS	tetracycline	statePIO	0.139623
CoNS	tetracycline	statePJJ	0.106772
CoNS	tetracycline	stateRHV	0.221684
CoNS	tetracycline	stateSHP	0.16527
CoNS	tetracycline	stateSLZ	0.160102
CoNS	tetracycline	stateSNB	0.131511
CoNS	tetracycline	stateSTP	0.15629
CoNS	tetracycline	stateTGK	0.21
CoNS	tetracycline	stateTMR	0.15123
CoNS	tetracycline	stateTOE	0.162147
CoNS	tetracycline	stateUEQ	0.18
CoNS	tetracycline	stateUMX	0.171458
CoNS	tetracycline	stateVIE	0.146912
CoNS	tetracycline	stateWPV	0.156988
CoNS	tetracycline	stateXYX	0.139381
CoNS	tetracycline	stateYJD	0.17
CoNS	tetracycline	stateYUW	0.164953
CoNS	tetracycline	stateYVE	0.166103
CoNS	tetracycline	stateZWS	0.193467
CoNS	tmpsmx	stateBFU	0.295189
CoNS	tmpsmx	stateCCZ	0.358878
CoNS	tmpsmx	stateCUX	0.404683
CoNS	tmpsmx	stateCWD	0.35
CoNS	tmpsmx	stateCYL	0.53
CoNS	tmpsmx	stateELN	0.185089
CoNS	tmpsmx	stateEPB	0.431939
CoNS	tmpsmx	stateERZ	0.034
CoNS	tmpsmx	stateEVG	0.27
CoNS	tmpsmx	stateGKW	0.387259
CoNS	tmpsmx	stateHQX	0.453806
CoNS	tmpsmx	stateIJE	0.357024
CoNS	tmpsmx	stateIWK	0.384313
CoNS	tmpsmx	stateJBF	0.381565
CoNS	tmpsmx	stateKFE	0.192586
CoNS	tmpsmx	stateLJC	0.333869
CoNS	tmpsmx	stateLMH	0.411032
CoNS	tmpsmx	stateLWR	0.284813
CoNS	tmpsmx	stateMMO	0.464211
CoNS	tmpsmx	stateNWF	0.5
CoNS	tmpsmx	stateOUP	0.383497
CoNS	tmpsmx	statePIO	0.404059
CoNS	tmpsmx	stateQES	0.44
CoNS	tmpsmx	stateRHV	0.423053
CoNS	tmpsmx	stateSHP	0.298223
CoNS	tmpsmx	stateSLZ	0.529771
CoNS	tmpsmx	stateSNB	0.278351
CoNS	tmpsmx	stateSTP	0.270544
CoNS	tmpsmx	stateTGK	0.54
CoNS	tmpsmx	stateTMR	0.357474
