source	data	state_id	drug_group	first_use	repeat_use
marketscan	children	stateERZ	beta_lactam	0.210324	0.112167
marketscan	children	stateERZ	cephalosporin	0.114175	0.047742
marketscan	children	stateERZ	macrolide	0.143832	0.05925
marketscan	children	stateERZ	nitrofurantoin	0.001537	0.001382
marketscan	children	stateERZ	overall	0.365043	0.446889
marketscan	children	stateERZ	quinolone	0.030103	0.007034
marketscan	children	stateERZ	tetracycline	0.014078	0.029749
marketscan	children	stateERZ	tmpsmx	0.02893	0.01163
marketscan	children	stateEVG	beta_lactam	0.211348	0.114186
marketscan	children	stateEVG	cephalosporin	0.070017	0.026829
marketscan	children	stateEVG	macrolide	0.088192	0.027624
marketscan	children	stateEVG	nitrofurantoin	0.00105	0.001314
marketscan	children	stateEVG	overall	0.32255	0.315668
marketscan	children	stateEVG	quinolone	0.027312	0.004915
marketscan	children	stateEVG	tetracycline	0.013993	0.024538
marketscan	children	stateEVG	tmpsmx	0.017234	0.009667
marketscan	children	stateGKW	beta_lactam	0.228372	0.118725
marketscan	children	stateGKW	cephalosporin	0.089993	0.03364
marketscan	children	stateGKW	macrolide	0.137011	0.05278
marketscan	children	stateGKW	nitrofurantoin	0.00169	0.002002
marketscan	children	stateGKW	overall	0.374793	0.408811
marketscan	children	stateGKW	quinolone	0.027587	0.004569
marketscan	children	stateGKW	tetracycline	0.015699	0.029874
marketscan	children	stateGKW	tmpsmx	0.028875	0.012789
marketscan	children	stateGWT	beta_lactam	0.240057	0.125411
marketscan	children	stateGWT	cephalosporin	0.085875	0.025985
marketscan	children	stateGWT	macrolide	0.112949	0.038865
marketscan	children	stateGWT	nitrofurantoin	0.001154	7.48e-4
marketscan	children	stateGWT	overall	0.377495	0.387816
marketscan	children	stateGWT	quinolone	0.053895	0.010387
marketscan	children	stateGWT	tetracycline	0.014323	0.023687
marketscan	children	stateGWT	tmpsmx	0.020954	0.01102
marketscan	children	stateHKT	beta_lactam	0.247732	0.144475
marketscan	children	stateHKT	cephalosporin	0.153875	0.072818
marketscan	children	stateHKT	macrolide	0.174372	0.072672
marketscan	children	stateHKT	nitrofurantoin	0.002577	0.003149
marketscan	children	stateHKT	overall	0.429587	0.587733
marketscan	children	stateHKT	quinolone	0.034537	0.005959
marketscan	children	stateHKT	tetracycline	0.016379	0.021115
marketscan	children	stateHKT	tmpsmx	0.052641	0.015019
marketscan	children	stateHMP	beta_lactam	0.175436	0.095722
marketscan	children	stateHMP	cephalosporin	0.102581	0.047161
marketscan	children	stateHMP	macrolide	0.110008	0.042235
marketscan	children	stateHMP	nitrofurantoin	0.001486	0.001241
marketscan	children	stateHMP	overall	0.300976	0.372182
marketscan	children	stateHMP	quinolone	0.024589	0.003155
marketscan	children	stateHMP	tetracycline	0.01158	0.01816
marketscan	children	stateHMP	tmpsmx	0.028768	0.011037
marketscan	children	stateHQX	beta_lactam	0.214447	0.106377
marketscan	children	stateHQX	cephalosporin	0.103489	0.042835
marketscan	children	stateHQX	macrolide	0.121191	0.04847
marketscan	children	stateHQX	nitrofurantoin	0.001455	0.001773
marketscan	children	stateHQX	overall	0.358114	0.400479
marketscan	children	stateHQX	quinolone	0.028717	0.004346
marketscan	children	stateHQX	tetracycline	0.013404	0.024168
marketscan	children	stateHQX	tmpsmx	0.03443	0.01349
marketscan	children	stateIJE	beta_lactam	0.229266	0.127669
marketscan	children	stateIJE	cephalosporin	0.120937	0.054251
marketscan	children	stateIJE	macrolide	0.133688	0.051152
marketscan	children	stateIJE	nitrofurantoin	0.001545	0.001408
marketscan	children	stateIJE	overall	0.382743	0.464291
marketscan	children	stateIJE	quinolone	0.036194	0.004922
marketscan	children	stateIJE	tetracycline	0.016691	0.027015
marketscan	children	stateIJE	tmpsmx	0.03181	0.010486
marketscan	children	stateIWK	beta_lactam	0.229657	0.121904
marketscan	children	stateIWK	cephalosporin	0.092336	0.03621
marketscan	children	stateIWK	macrolide	0.104427	0.036019
marketscan	children	stateIWK	nitrofurantoin	0.001362	0.00138
marketscan	children	stateIWK	overall	0.352922	0.374603
marketscan	children	stateIWK	quinolone	0.030956	0.004084
marketscan	children	stateIWK	tetracycline	0.013649	0.0238
marketscan	children	stateIWK	tmpsmx	0.022793	0.008948
marketscan	children	stateJBF	beta_lactam	0.191826	0.077877
marketscan	children	stateJBF	cephalosporin	0.091284	0.028155
marketscan	children	stateJBF	macrolide	0.092702	0.027139
marketscan	children	stateJBF	nitrofurantoin	0.001539	8.57e-4
marketscan	children	stateJBF	overall	0.316562	0.27874
marketscan	children	stateJBF	quinolone	0.020815	0.003189
marketscan	children	stateJBF	tetracycline	0.013008	0.026329
marketscan	children	stateJBF	tmpsmx	0.013985	0.006596
marketscan	children	stateKFE	beta_lactam	0.215953	0.094281
marketscan	children	stateKFE	cephalosporin	0.090375	0.027734
marketscan	children	stateKFE	macrolide	0.088751	0.025341
marketscan	children	stateKFE	nitrofurantoin	0.002273	0.002549
marketscan	children	stateKFE	overall	0.334142	0.308805
marketscan	children	stateKFE	quinolone	0.028171	0.004001
marketscan	children	stateKFE	tetracycline	0.013622	0.022202
marketscan	children	stateKFE	tmpsmx	0.018887	0.008805
marketscan	children	stateKPQ	beta_lactam	0.176933	0.11049
marketscan	children	stateKPQ	cephalosporin	0.115087	0.057135
marketscan	children	stateKPQ	macrolide	0.109192	0.050417
marketscan	children	stateKPQ	nitrofurantoin	0.001818	0.001407
marketscan	children	stateKPQ	overall	0.292065	0.419367
marketscan	children	stateKPQ	quinolone	0.019303	0.002691
marketscan	children	stateKPQ	tetracycline	0.010646	0.019357
marketscan	children	stateKPQ	tmpsmx	0.026769	0.010186
marketscan	children	stateLJC	beta_lactam	0.166735	0.082294
marketscan	children	stateLJC	cephalosporin	0.073589	0.027963
marketscan	children	stateLJC	macrolide	0.072135	0.025554
marketscan	children	stateLJC	nitrofurantoin	0.001058	0.001508
marketscan	children	stateLJC	overall	0.269066	0.275183
marketscan	children	stateLJC	quinolone	0.029455	0.004162
marketscan	children	stateLJC	tetracycline	0.013787	0.025115
marketscan	children	stateLJC	tmpsmx	0.013952	0.006942
marketscan	children	stateLMH	beta_lactam	0.155846	0.060513
marketscan	children	stateLMH	cephalosporin	0.052451	0.014951
marketscan	children	stateLMH	macrolide	0.072346	0.018379
marketscan	children	stateLMH	nitrofurantoin	0.001386	0.001511
marketscan	children	stateLMH	overall	0.256806	0.211344
marketscan	children	stateLMH	quinolone	0.017114	0.003039
marketscan	children	stateLMH	tetracycline	0.012914	0.027977
marketscan	children	stateLMH	tmpsmx	0.020718	0.009006
marketscan	children	stateLWR	beta_lactam	0.160288	0.063521
marketscan	children	stateLWR	cephalosporin	0.085626	0.028726
marketscan	children	stateLWR	macrolide	0.092924	0.029197
marketscan	children	stateLWR	nitrofurantoin	0.00127	7.41e-4
marketscan	children	stateLWR	overall	0.278745	0.247042
marketscan	children	stateLWR	quinolone	0.018154	0.002372
marketscan	children	stateLWR	tetracycline	0.008252	0.014341
marketscan	children	stateLWR	tmpsmx	0.015115	0.005258
marketscan	children	stateMMO	beta_lactam	0.228546	0.107366
marketscan	children	stateMMO	cephalosporin	0.107627	0.039004
marketscan	children	stateMMO	macrolide	0.112501	0.035796
marketscan	children	stateMMO	nitrofurantoin	0.001874	0.001712
marketscan	children	stateMMO	overall	0.362393	0.374046
marketscan	children	stateMMO	quinolone	0.034047	0.005177
marketscan	children	stateMMO	tetracycline	0.012227	0.025053
marketscan	children	stateMMO	tmpsmx	0.018735	0.006772
marketscan	children	stateNWF	beta_lactam	0.219106	0.128844
marketscan	children	stateNWF	cephalosporin	0.086579	0.032928
marketscan	children	stateNWF	macrolide	0.099484	0.037029
marketscan	children	stateNWF	nitrofurantoin	0.001095	0.001045
marketscan	children	stateNWF	overall	0.334303	0.379225
marketscan	children	stateNWF	quinolone	0.034408	0.006393
marketscan	children	stateNWF	tetracycline	0.01349	0.023374
marketscan	children	stateNWF	tmpsmx	0.019938	0.009815
marketscan	children	stateOUP	beta_lactam	0.150067	0.05788
marketscan	children	stateOUP	cephalosporin	0.058592	0.016159
marketscan	children	stateOUP	macrolide	0.090971	0.025679
marketscan	children	stateOUP	nitrofurantoin	0.001802	0.001133
marketscan	children	stateOUP	overall	0.265718	0.225597
marketscan	children	stateOUP	quinolone	0.016255	0.002534
marketscan	children	stateOUP	tetracycline	0.014097	0.028798
marketscan	children	stateOUP	tmpsmx	0.019373	0.007975
marketscan	children	stateOYK	beta_lactam	0.155661	0.072945
marketscan	children	stateOYK	cephalosporin	0.050194	0.016978
marketscan	children	stateOYK	macrolide	0.072937	0.024638
marketscan	children	stateOYK	nitrofurantoin	0.00116	0.001313
marketscan	children	stateOYK	overall	0.244521	0.223318
marketscan	children	stateOYK	quinolone	0.018752	0.002612
marketscan	children	stateOYK	tetracycline	0.011965	0.018354
marketscan	children	stateOYK	tmpsmx	0.013911	0.00642
marketscan	children	statePIO	beta_lactam	0.189249	0.079875
marketscan	children	statePIO	cephalosporin	0.063859	0.017602
marketscan	children	statePIO	macrolide	0.11244	0.036297
marketscan	children	statePIO	nitrofurantoin	0.001865	0.001455
marketscan	children	statePIO	overall	0.324204	0.274305
marketscan	children	statePIO	quinolone	0.019505	0.002331
marketscan	children	statePIO	tetracycline	0.017372	0.025866
marketscan	children	statePIO	tmpsmx	0.022635	0.008158
marketscan	children	statePJJ	beta_lactam	0.234612	0.126644
marketscan	children	statePJJ	cephalosporin	0.134266	0.058962
marketscan	children	statePJJ	macrolide	0.154103	0.061611
marketscan	children	statePJJ	nitrofurantoin	0.002447	0.001137
marketscan	children	statePJJ	overall	0.400562	0.512286
marketscan	children	statePJJ	quinolone	0.03466	0.006497
marketscan	children	statePJJ	tetracycline	0.014879	0.02333
marketscan	children	statePJJ	tmpsmx	0.04595	0.01375
marketscan	children	stateQES	beta_lactam	0.218085	0.118815
marketscan	children	stateQES	cephalosporin	0.096313	0.03807
marketscan	children	stateQES	macrolide	0.116251	0.043453
marketscan	children	stateQES	nitrofurantoin	9.09e-4	9.08e-4
marketscan	children	stateQES	overall	0.348919	0.380348
marketscan	children	stateQES	quinolone	0.041725	0.006811
marketscan	children	stateQES	tetracycline	0.011	0.019014
marketscan	children	stateQES	tmpsmx	0.012283	0.005631
marketscan	children	stateRHV	beta_lactam	0.245656	0.146039
marketscan	children	stateRHV	cephalosporin	0.17453	0.094882
marketscan	children	stateRHV	macrolide	0.19778	0.095253
marketscan	children	stateRHV	nitrofurantoin	0.00227	0.00165
marketscan	children	stateRHV	overall	0.450533	0.652369
marketscan	children	stateRHV	quinolone	0.029402	0.003963
marketscan	children	stateRHV	tetracycline	0.015446	0.0194
marketscan	children	stateRHV	tmpsmx	0.060512	0.01612
marketscan	children	stateSHP	beta_lactam	0.229122	0.121781
marketscan	children	stateSHP	cephalosporin	0.123606	0.054537
marketscan	children	stateSHP	macrolide	0.119403	0.040088
marketscan	children	stateSHP	nitrofurantoin	0.001853	0.001692
marketscan	children	stateSHP	overall	0.375207	0.432473
marketscan	children	stateSHP	quinolone	0.033308	0.004505
marketscan	children	stateSHP	tetracycline	0.015043	0.025427
marketscan	children	stateSHP	tmpsmx	0.02804	0.009276
marketscan	children	stateSLZ	beta_lactam	0.210033	0.125432
marketscan	children	stateSLZ	cephalosporin	0.135107	0.072207
marketscan	children	stateSLZ	macrolide	0.174937	0.086133
marketscan	children	stateSLZ	nitrofurantoin	0.001867	0.002073
marketscan	children	stateSLZ	overall	0.37938	0.580963
marketscan	children	stateSLZ	quinolone	0.037547	0.006068
marketscan	children	stateSLZ	tetracycline	0.01502	0.020314
marketscan	children	stateSLZ	tmpsmx	0.055822	0.017784
marketscan	children	stateSNB	beta_lactam	0.232949	0.123867
marketscan	children	stateSNB	cephalosporin	0.124729	0.056071
marketscan	children	stateSNB	macrolide	0.118832	0.043268
marketscan	children	stateSNB	nitrofurantoin	0.001965	0.002313
marketscan	children	stateSNB	overall	0.376268	0.439734
marketscan	children	stateSNB	quinolone	0.032247	0.004591
marketscan	children	stateSNB	tetracycline	0.014055	0.024415
marketscan	children	stateSNB	tmpsmx	0.025812	0.010887
marketscan	children	stateSTP	beta_lactam	0.168606	0.091497
marketscan	children	stateSTP	cephalosporin	0.087863	0.037748
marketscan	children	stateSTP	macrolide	0.09146	0.036801
marketscan	children	stateSTP	nitrofurantoin	0.001302	0.001211
marketscan	children	stateSTP	overall	0.275371	0.326944
marketscan	children	stateSTP	quinolone	0.019697	0.00285
marketscan	children	stateSTP	tetracycline	0.010297	0.019043
marketscan	children	stateSTP	tmpsmx	0.023416	0.010523
marketscan	children	stateTGK	beta_lactam	0.139304	0.049599
marketscan	children	stateTGK	cephalosporin	0.05635	0.016693
marketscan	children	stateTGK	macrolide	0.082371	0.022604
marketscan	children	stateTGK	nitrofurantoin	0.001308	9.35e-4
marketscan	children	stateTGK	overall	0.24737	0.195142
marketscan	children	stateTGK	quinolone	0.0217	0.002628
marketscan	children	stateTGK	tetracycline	0.009335	0.015723
marketscan	children	stateTGK	tmpsmx	0.019166	0.004796
marketscan	children	stateTMR	beta_lactam	0.213154	0.112385
marketscan	children	stateTMR	cephalosporin	0.085507	0.033965
marketscan	children	stateTMR	macrolide	0.111058	0.037098
marketscan	children	stateTMR	nitrofurantoin	0.001343	0.001481
marketscan	children	stateTMR	overall	0.331334	0.355251
marketscan	children	stateTMR	quinolone	0.02501	0.004665
marketscan	children	stateTMR	tetracycline	0.010664999999999999	0.020308
marketscan	children	stateTMR	tmpsmx	0.018687	0.01126
marketscan	children	stateTOE	beta_lactam	0.182448	0.073964
marketscan	children	stateTOE	cephalosporin	0.075514	0.022044
marketscan	children	stateTOE	macrolide	0.085851	0.024237
marketscan	children	stateTOE	nitrofurantoin	0.001954	0.002013
marketscan	children	stateTOE	overall	0.301605	0.26809500000000003
marketscan	children	stateTOE	quinolone	0.01878	0.002363
marketscan	children	stateTOE	tetracycline	0.015514	0.030393
marketscan	children	stateTOE	tmpsmx	0.023986	0.010639
marketscan	children	stateUEQ	beta_lactam	0.283512	0.162625
marketscan	children	stateUEQ	cephalosporin	0.123778	0.048197
marketscan	children	stateUEQ	macrolide	0.131457	0.047042
marketscan	children	stateUEQ	nitrofurantoin	0.002051	0.002591
marketscan	children	stateUEQ	overall	0.431894	0.485218
marketscan	children	stateUEQ	quinolone	0.038279	0.004522
marketscan	children	stateUEQ	tetracycline	0.01407	0.021211
marketscan	children	stateUEQ	tmpsmx	0.026694	0.011083
marketscan	children	stateUMX	beta_lactam	0.137013	0.055239
marketscan	children	stateUMX	cephalosporin	0.054178	0.015409
marketscan	children	stateUMX	macrolide	0.079597	0.025597
marketscan	children	stateUMX	nitrofurantoin	0.001035	7.87e-4
marketscan	children	stateUMX	overall	0.234155	0.205005
marketscan	children	stateUMX	quinolone	0.018901	0.002414
marketscan	children	stateUMX	tetracycline	0.009857	0.01717
marketscan	children	stateUMX	tmpsmx	0.016362	0.005602
marketscan	children	stateUWX	beta_lactam	0.221184	0.120034
marketscan	children	stateUWX	cephalosporin	0.135925	0.063246
marketscan	children	stateUWX	macrolide	0.146559	0.057204
marketscan	children	stateUWX	nitrofurantoin	0.001758	0.001334
marketscan	children	stateUWX	overall	0.38854	0.499543
marketscan	children	stateUWX	quinolone	0.031969	0.006246
marketscan	children	stateUWX	tetracycline	0.015555	0.024331
marketscan	children	stateUWX	tmpsmx	0.047259	0.01548
marketscan	children	stateVIE	beta_lactam	0.171783	0.084075
marketscan	children	stateVIE	cephalosporin	0.066831	0.023754
marketscan	children	stateVIE	macrolide	0.097205	0.031804
marketscan	children	stateVIE	nitrofurantoin	0.001444	0.001658
marketscan	children	stateVIE	overall	0.281173	0.289424
marketscan	children	stateVIE	quinolone	0.025499	0.004362
marketscan	children	stateVIE	tetracycline	0.012219	0.026011
marketscan	children	stateVIE	tmpsmx	0.016361	0.007593
marketscan	children	stateVUS	beta_lactam	0.150132	0.070675
marketscan	children	stateVUS	cephalosporin	0.049001	0.018035
marketscan	children	stateVUS	macrolide	0.077612	0.022941
marketscan	children	stateVUS	nitrofurantoin	0.001239	0.001692
marketscan	children	stateVUS	overall	0.246286	0.219175
marketscan	children	stateVUS	quinolone	0.012178	0.002081
marketscan	children	stateVUS	tetracycline	0.01403	0.024362
marketscan	children	stateVUS	tmpsmx	0.015998	0.005483
marketscan	children	stateWFM	beta_lactam	0.162799	0.069302
marketscan	children	stateWFM	cephalosporin	0.05828	0.016171
marketscan	children	stateWFM	macrolide	0.098663	0.031741
marketscan	children	stateWFM	nitrofurantoin	0.001751	0.00166
marketscan	children	stateWFM	overall	0.26881	0.239681
marketscan	children	stateWFM	quinolone	0.017846	0.002306
marketscan	children	stateWFM	tetracycline	0.009974	0.016289
marketscan	children	stateWFM	tmpsmx	0.015512	0.006197
marketscan	children	stateWPV	beta_lactam	0.169879	0.078966
marketscan	children	stateWPV	cephalosporin	0.089375	0.034612
marketscan	children	stateWPV	macrolide	0.113939	0.039203
marketscan	children	stateWPV	nitrofurantoin	9.59e-4	8.03e-4
marketscan	children	stateWPV	overall	0.301817	0.317063
marketscan	children	stateWPV	quinolone	0.029329	0.003734
marketscan	children	stateWPV	tetracycline	0.011375	0.018714
marketscan	children	stateWPV	tmpsmx	0.021985	0.006008
marketscan	children	stateXYX	beta_lactam	0.228869	0.12784
marketscan	children	stateXYX	cephalosporin	0.115646	0.051932
marketscan	children	stateXYX	macrolide	0.121556	0.045218
marketscan	children	stateXYX	nitrofurantoin	0.001837	0.001467
marketscan	children	stateXYX	overall	0.37451	0.442461
marketscan	children	stateXYX	quinolone	0.030554	0.004063
marketscan	children	stateXYX	tetracycline	0.014889	0.027812
marketscan	children	stateXYX	tmpsmx	0.032773	0.012515
marketscan	children	stateYJD	beta_lactam	0.185851	0.084754
marketscan	children	stateYJD	cephalosporin	0.091899	0.031002
marketscan	children	stateYJD	macrolide	0.130218	0.042615
marketscan	children	stateYJD	nitrofurantoin	0.002113	6.28e-4
marketscan	children	stateYJD	overall	0.32136	0.324769
marketscan	children	stateYJD	quinolone	0.018395	0.002179
marketscan	children	stateYJD	tetracycline	0.009321	0.015189
marketscan	children	stateYJD	tmpsmx	0.023731	0.008234
marketscan	children	stateYUW	beta_lactam	0.217007	0.120247
marketscan	children	stateYUW	cephalosporin	0.137031	0.072513
marketscan	children	stateYUW	macrolide	0.114624	0.03863
marketscan	children	stateYUW	nitrofurantoin	0.001708	0.001596
marketscan	children	stateYUW	overall	0.366497	0.458234
marketscan	children	stateYUW	quinolone	0.033377	0.004506
marketscan	children	stateYUW	tetracycline	0.012616	0.023068
marketscan	children	stateYUW	tmpsmx	0.033378	0.014431
marketscan	children	stateYVE	beta_lactam	0.194616	0.110285
marketscan	children	stateYVE	cephalosporin	0.092627	0.039402
marketscan	children	stateYVE	macrolide	0.099228	0.038499
marketscan	children	stateYVE	nitrofurantoin	0.001091	0.001368
marketscan	children	stateYVE	overall	0.310068	0.349828
marketscan	children	stateYVE	quinolone	0.030778	0.004449
marketscan	children	stateYVE	tetracycline	0.010016	0.016159
marketscan	children	stateYVE	tmpsmx	0.014517	0.006861
marketscan	children	stateYWF	beta_lactam	0.202685	0.107089
marketscan	children	stateYWF	cephalosporin	0.106119	0.04815
marketscan	children	stateYWF	macrolide	0.126069	0.049079
marketscan	children	stateYWF	nitrofurantoin	0.002372	0.003213
marketscan	children	stateYWF	overall	0.340344	0.400808
marketscan	children	stateYWF	quinolone	0.0256	0.004467
marketscan	children	stateYWF	tetracycline	0.008982	0.016847
marketscan	children	stateYWF	tmpsmx	0.025612	0.014869
marketscan	children	stateZWS	beta_lactam	0.19771	0.100421
marketscan	children	stateZWS	cephalosporin	0.090798	0.035547
marketscan	children	stateZWS	macrolide	0.10526	0.039711
marketscan	children	stateZWS	nitrofurantoin	0.00134	0.001274
marketscan	children	stateZWS	overall	0.321589	0.351958
marketscan	children	stateZWS	quinolone	0.026481	0.003429
marketscan	children	stateZWS	tetracycline	0.012354	0.023794
marketscan	children	stateZWS	tmpsmx	0.025191	0.010237
marketscan	days_supply	stateBFU	beta_lactam	0.106097	1.343639
marketscan	days_supply	stateBFU	cephalosporin	0.0398	0.42573
marketscan	days_supply	stateBFU	macrolide	0.098392	0.746128
marketscan	days_supply	stateBFU	nitrofurantoin	0.008387	0.156187
marketscan	days_supply	stateBFU	overall	0.244601	5.149396
marketscan	days_supply	stateBFU	quinolone	0.040503	0.468322
marketscan	days_supply	stateBFU	tetracycline	0.025468	1.515871
marketscan	days_supply	stateBFU	tmpsmx	0.023416	0.396069
marketscan	days_supply	stateCCZ	beta_lactam	0.188563	2.479211
marketscan	days_supply	stateCCZ	cephalosporin	0.10966	1.379516
marketscan	days_supply	stateCCZ	macrolide	0.16608	1.296611
marketscan	days_supply	stateCCZ	nitrofurantoin	0.014036	0.284942
marketscan	days_supply	stateCCZ	overall	0.406937	9.189462
marketscan	days_supply	stateCCZ	quinolone	0.087477	1.03753
marketscan	days_supply	stateCCZ	tetracycline	0.036776	1.733185
marketscan	days_supply	stateCCZ	tmpsmx	0.048776	0.73406
marketscan	days_supply	stateCUX	beta_lactam	0.157217	2.116816
marketscan	days_supply	stateCUX	cephalosporin	0.061	0.745621
marketscan	days_supply	stateCUX	macrolide	0.132977	1.070879
marketscan	days_supply	stateCUX	nitrofurantoin	0.012169	0.20477
marketscan	days_supply	stateCUX	overall	0.33526	7.358156
marketscan	days_supply	stateCUX	quinolone	0.062774	0.706169
marketscan	days_supply	stateCUX	tetracycline	0.029271	1.757941
marketscan	days_supply	stateCUX	tmpsmx	0.029147	0.606702
marketscan	days_supply	stateCWD	beta_lactam	0.145414	1.920352
marketscan	days_supply	stateCWD	cephalosporin	0.089151	1.107762
marketscan	days_supply	stateCWD	macrolide	0.12984	1.115274
marketscan	days_supply	stateCWD	nitrofurantoin	0.00891	0.171761
marketscan	days_supply	stateCWD	overall	0.3331	8.114725
marketscan	days_supply	stateCWD	quinolone	0.057619	0.700812
marketscan	days_supply	stateCWD	tetracycline	0.031407	2.205
marketscan	days_supply	stateCWD	tmpsmx	0.031431	0.733091
marketscan	days_supply	stateCYL	beta_lactam	0.188207	2.415507
marketscan	days_supply	stateCYL	cephalosporin	0.109507	1.349023
marketscan	days_supply	stateCYL	macrolide	0.178156	1.458943
marketscan	days_supply	stateCYL	nitrofurantoin	0.017643	0.372862
marketscan	days_supply	stateCYL	overall	0.434138	9.809551
marketscan	days_supply	stateCYL	quinolone	0.095148	1.143631
marketscan	days_supply	stateCYL	tetracycline	0.048712	1.993911
marketscan	days_supply	stateCYL	tmpsmx	0.052652	0.819797
marketscan	days_supply	stateELN	beta_lactam	0.072677	0.839653
marketscan	days_supply	stateELN	cephalosporin	0.031247	0.317772
marketscan	days_supply	stateELN	macrolide	0.085184	0.625495
marketscan	days_supply	stateELN	nitrofurantoin	0.009827	0.235827
marketscan	days_supply	stateELN	overall	0.205601	4.05925
marketscan	days_supply	stateELN	quinolone	0.053582	0.628452
marketscan	days_supply	stateELN	tetracycline	0.020363	1.021796
marketscan	days_supply	stateELN	tmpsmx	0.021809	0.301166
marketscan	days_supply	stateEPB	beta_lactam	0.17658	2.211006
marketscan	days_supply	stateEPB	cephalosporin	0.095787	1.136129
marketscan	days_supply	stateEPB	macrolide	0.166256	1.295088
marketscan	days_supply	stateEPB	nitrofurantoin	0.017268	0.295787
marketscan	days_supply	stateEPB	overall	0.408408	8.761935
marketscan	days_supply	stateEPB	quinolone	0.088038	1.005948
marketscan	days_supply	stateEPB	tetracycline	0.039151	1.863204
marketscan	days_supply	stateEPB	tmpsmx	0.046175	0.733956
marketscan	days_supply	stateERZ	beta_lactam	0.143781	1.925103
marketscan	days_supply	stateERZ	cephalosporin	0.078574	0.994891
marketscan	days_supply	stateERZ	macrolide	0.126282	1.020317
marketscan	days_supply	stateERZ	nitrofurantoin	0.009775	0.204387
marketscan	days_supply	stateERZ	overall	0.325084	7.462338
marketscan	days_supply	stateERZ	quinolone	0.058084	0.68123
marketscan	days_supply	stateERZ	tetracycline	0.030033	1.860294
marketscan	days_supply	stateERZ	tmpsmx	0.034576	0.620129
marketscan	days_supply	stateEVG	beta_lactam	0.137038	1.751861
marketscan	days_supply	stateEVG	cephalosporin	0.046503	0.662517
marketscan	days_supply	stateEVG	macrolide	0.0993	0.823609
marketscan	days_supply	stateEVG	nitrofurantoin	0.010795	0.162525
marketscan	days_supply	stateEVG	overall	0.29744	6.348015
marketscan	days_supply	stateEVG	quinolone	0.051455	0.55028
